Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key,strength_normalized,dosage_range,frequency,population
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Dec 7, 2011","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL",300 mg,adult: 100-300 mg daily,daily,adult
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,RYZOLT,PURDUE PHARMA PRODUCTS LP,"Dec 30, 2008","TRAMADOL HYDROCHLORIDE||200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, EXTENDED RELEASE||ORAL",200 mg,adult: 100-300 mg daily,daily,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH LTD,"Jun 28, 2019",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,CHARTWELL RX SCIENCES LLC,"Apr 21, 2005",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL,325 mg; 37.5 mg,adult: 2 tablets per dose; max 8 tablets/day,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,100MG,TRAMADOL HYDROCHLORIDE,GRAVITI PHARMACEUTICALS PRIVATE LTD,"Aug 2, 2024",TRAMADOL HYDROCHLORIDE||100MG||TABLET||ORAL,100 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,"TABLET, ORALLY DISINTEGRATING",ORAL,50MG,RYBIX ODT,SHIONOGI INC,"May 5, 2005","TRAMADOL HYDROCHLORIDE||50MG||TABLET, ORALLY DISINTEGRATING||ORAL",50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,75MG,TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH LTD,"Apr 4, 2024",TRAMADOL HYDROCHLORIDE||75MG||TABLET||ORAL,75 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,LUPIN LTD,"Aug 29, 2011","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL",200 mg,adult: 100-300 mg daily,daily,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,UNICHEM LABORATORIES LTD,"Aug 9, 2019",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,IPCA LABORATORIES LTD,"Nov 16, 2012",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,SENORES PHARMACEUTICALS INC,"Jan 31, 2011",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,MYLAN PHARMACEUTICALS INC,"Dec 22, 2015","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL",200 mg,adult: 100-300 mg daily,daily,adult
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,"Jan 31, 2025","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL",100 mg,adult: 100-300 mg daily,daily,adult
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,MACLEODS PHARMACEUTICALS LTD,"May 2, 2017",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL,325 mg; 37.5 mg,adult: 2 tablets per dose; max 8 tablets/day,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,PLIVA INC,"Jul 1, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Jun 20, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,STRIDES PHARMA INTERNATIONAL AG,"Sep 20, 2011","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL",300 mg,adult: 100-300 mg daily,daily,adult
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,STRIDES PHARMA GLOBAL PTE LTD,"Nov 28, 2011",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
GUAIFENESIN; HYDROCODONE BITARTRATE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML,FLOWTUSS,CHARTWELL RX SCIENCES LLC,"May 14, 2015",GUAIFENESIN; HYDROCODONE BITARTRATE||200MG/5ML; 2.5MG/5ML||SOLUTION||ORAL,200 mg/5 mL; 2.5 mg/5 mL,adult: 5 mL per dose,q4-6h PRN,adult
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jul 1, 2021","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,PERRIGO R AND D CO,"Mar 5, 2018","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL",30 mg; 600 mg,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,GRANULES INDIA LTD,"May 8, 2020","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"May 27, 2015","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL",1.2 g; 120 mg,adult/adolescent >=12: 1 ER tablet per dose,q12h,adult/adolescent >=12
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AUROBINDO PHARMA LTD,"Mar 17, 2017","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,OHM LABORATORIES INC,"Jul 16, 2018","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,MUCINEX,RB HEALTH US LLC,"Dec 18, 2002","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,"Mar 25, 2020","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL",1.2 g; 120 mg,adult/adolescent >=12: 1 ER tablet per dose,q12h,adult/adolescent >=12
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AUROBINDO PHARMA LTD,"Mar 17, 2017","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12
GUAIFENESIN; HYDROCODONE BITARTRATE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML,OBREDON,SOVEREIGN PHARMACEUTICALS LLC,"Nov 14, 2014",GUAIFENESIN; HYDROCODONE BITARTRATE||200MG/5ML; 2.5MG/5ML||SOLUTION||ORAL,200 mg/5 mL; 2.5 mg/5 mL,adult: 5 mL per dose,q4-6h PRN,adult
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Apr 28, 2020","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL",1.2 g; 120 mg,adult/adolescent >=12: 1 ER tablet per dose,q12h,adult/adolescent >=12
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Aug 31, 2015","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL",30 mg; 600 mg,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Jul 11, 2018","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,GRANULES INDIA LTD,"May 8, 2020","GUAIFENESIN||600MG||TABLET, EXTENDED RELEASE||ORAL",600 mg,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jul 1, 2021","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,MUCINEX DM,RB HEALTH US LLC,"Apr 29, 2004","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,AUROBINDO PHARMA LTD,"Oct 21, 2019","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Nov 1, 2018","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL",30 mg; 600 mg,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,MUCINEX D,RB HEALTH US LLC,"Jun 22, 2004","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||600MG; 60MG||TABLET, EXTENDED RELEASE||ORAL",600 mg; 60 mg,adult/adolescent >=12: 1 ER tablet per dose,q12h,adult/adolescent >=12
BETAMETHASONE DIPROPIONATE,CREAM,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,ACTAVIS MID ATLANTIC,"Feb 3, 1987",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||CREAM||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,CREAM,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,COSETTE,"Oct 12, 2018",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||CREAM||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,CREAM,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,FOUGERA PHARMS,"Jun 26, 1984",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||CREAM||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,CREAM,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,SUN PHARMA CANADA,"Apr 30, 1992",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||CREAM||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,CREAM,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,ZYDUS PHARMS,"Jan 11, 2019",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||CREAM||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,"CREAM, AUGMENTED",TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,FOUGERA PHARMS,"Dec 9, 2003","BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||CREAM, AUGMENTED||TOPICAL",eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,"CREAM, AUGMENTED",TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,PADAGIS ISRAEL,"Dec 9, 2003","BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||CREAM, AUGMENTED||TOPICAL",eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,"CREAM, AUGMENTED",TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,SUN PHARMA CANADA,"Dec 9, 2003","BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||CREAM, AUGMENTED||TOPICAL",eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,"GEL, AUGMENTED",TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,FOUGERA PHARMS,"May 13, 2003","BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||GEL, AUGMENTED||TOPICAL",eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,"GEL, AUGMENTED",TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,SUN PHARMA CANADA,"Dec 2, 2003","BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||GEL, AUGMENTED||TOPICAL",eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,LOTION,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,COSETTE,"Aug 10, 1987",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||LOTION||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,LOTION,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,FOUGERA PHARMS INC,"Aug 12, 1985",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||LOTION||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,LOTION,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,PADAGIS US,"Jan 31, 1990",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||LOTION||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,"LOTION, AUGMENTED",TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,ENCUBE,"Feb 13, 2018","BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||LOTION, AUGMENTED||TOPICAL",eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,"LOTION, AUGMENTED",TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,FOUGERA PHARMS,"May 21, 2007","BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||LOTION, AUGMENTED||TOPICAL",eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,"LOTION, AUGMENTED",TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,SUN PHARMA CANADA,"May 21, 2007","BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||LOTION, AUGMENTED||TOPICAL",eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,OINTMENT,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,ACTAVIS MID ATLANTIC,"Feb 3, 1987",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||OINTMENT||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,OINTMENT,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,FOUGERA PHARMS INC,"Sep 4, 1984",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||OINTMENT||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,OINTMENT,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,PADAGIS ISRAEL,"Apr 12, 2022",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||OINTMENT||TOPICAL,eq 0.05% base,,,
BETAMETHASONE DIPROPIONATE,OINTMENT,TOPICAL,EQ 0.05% BASE,BETAMETHASONE DIPROPIONATE,TP ANDA HOLDINGS,"Feb 18, 2022",BETAMETHASONE DIPROPIONATE||EQ 0.05% BASE||OINTMENT||TOPICAL,eq 0.05% base,,,
BUDESONIDE,"AEROSOL, FOAM",RECTAL,2MG/ACTUATION,BUDESONIDE,PADAGIS ISRAEL,"Apr 12, 2023","BUDESONIDE||2MG/ACTUATION||AEROSOL, FOAM||RECTAL",2 mg/actuation,,,
BUDESONIDE,"AEROSOL, FOAM",RECTAL,2MG/ACTUATION,UCERIS,SALIX,"Oct 7, 2014","BUDESONIDE||2MG/ACTUATION||AEROSOL, FOAM||RECTAL",2 mg/actuation,,,
BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,3MG,BUDESONIDE,AMNEAL PHARMS,"Jul 31, 2017","BUDESONIDE||3MG||CAPSULE, DELAYED RELEASE||ORAL",3 mg,,,
BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,3MG,BUDESONIDE,AUROBINDO PHARMA USA,"May 16, 2011","BUDESONIDE||3MG||CAPSULE, DELAYED RELEASE||ORAL",3 mg,,,
BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,3MG,BUDESONIDE,DR REDDYS LABS SA,"Apr 8, 2016","BUDESONIDE||3MG||CAPSULE, DELAYED RELEASE||ORAL",3 mg,,,
BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,3MG,BUDESONIDE,RISING,"Apr 7, 2017","BUDESONIDE||3MG||CAPSULE, DELAYED RELEASE||ORAL",3 mg,,,
BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,3MG,BUDESONIDE,ZYDUS PHARMS,"May 4, 2017","BUDESONIDE||3MG||CAPSULE, DELAYED RELEASE||ORAL",3 mg,,,
BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,3MG,ENTOCORT EC,PADAGIS US,"Oct 2, 2001","BUDESONIDE||3MG||CAPSULE, DELAYED RELEASE||ORAL",3 mg,,,
BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,4MG,TARPEYO,CALLIDITAS,"Dec 15, 2021","BUDESONIDE||4MG||CAPSULE, DELAYED RELEASE||ORAL",4 mg,,,
BUDESONIDE,"POWDER, METERED",INHALATION,0.08MG/INH,PULMICORT FLEXHALER,CHEPLAPHARM,"Jul 12, 2006","BUDESONIDE||0.08MG/INH||POWDER, METERED||INHALATION",0.08 mg/inh,,,
BUDESONIDE,"POWDER, METERED",INHALATION,0.16MG/INH,PULMICORT FLEXHALER,CHEPLAPHARM,"Jul 12, 2006","BUDESONIDE||0.16MG/INH||POWDER, METERED||INHALATION",0.16 mg/inh,,,
BUDESONIDE,SUSPENSION,INHALATION,0.25MG/2ML,BUDESONIDE,CIPLA,"Nov 16, 2017",BUDESONIDE||0.25MG/2ML||SUSPENSION||INHALATION,0.25 mg/2 ml,,,
BUDESONIDE,SUSPENSION,INHALATION,0.5MG/2ML,BUDESONIDE,CIPLA,"Nov 16, 2017",BUDESONIDE||0.5MG/2ML||SUSPENSION||INHALATION,0.5 mg/2 ml,,,
BUDESONIDE,SUSPENSION,INHALATION,1MG/2ML,BUDESONIDE,CIPLA,"Nov 16, 2017",BUDESONIDE||1MG/2ML||SUSPENSION||INHALATION,1 mg/2 ml,,,
BUDESONIDE,SUSPENSION,INHALATION,0.5MG/2ML,BUDESONIDE,EUGIA PHARMA,"Nov 29, 2023",BUDESONIDE||0.5MG/2ML||SUSPENSION||INHALATION,0.5 mg/2 ml,,,
BUDESONIDE,SUSPENSION,INHALATION,0.25MG/2ML,BUDESONIDE,IMPAX LABS INC,"Jul 31, 2012",BUDESONIDE||0.25MG/2ML||SUSPENSION||INHALATION,0.25 mg/2 ml,,,
BUDESONIDE,SUSPENSION,INHALATION,0.5MG/2ML,BUDESONIDE,IMPAX LABS INC,"Jul 31, 2012",BUDESONIDE||0.5MG/2ML||SUSPENSION||INHALATION,0.5 mg/2 ml,,,
BUDESONIDE,SUSPENSION,INHALATION,0.5MG/2ML,BUDESONIDE,LUPIN,"Nov 9, 2018",BUDESONIDE||0.5MG/2ML||SUSPENSION||INHALATION,0.5 mg/2 ml,,,
BUDESONIDE,SUSPENSION,INHALATION,0.25MG/2ML,BUDESONIDE,NEPHRON,"Mar 30, 2009",BUDESONIDE||0.25MG/2ML||SUSPENSION||INHALATION,0.25 mg/2 ml,,,
BUDESONIDE,SUSPENSION,INHALATION,0.5MG/2ML,BUDESONIDE,NEPHRON,"Mar 30, 2009",BUDESONIDE||0.5MG/2ML||SUSPENSION||INHALATION,0.5 mg/2 ml,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,0.05%,CLOBETASOL PROPIONATE,ALEMBIC,"Apr 21, 2022","CLOBETASOL PROPIONATE||0.05%||AEROSOL, FOAM||TOPICAL",0.05%,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,0.05%,CLOBETASOL PROPIONATE,GLENMARK PHARMS LTD,"Feb 15, 2019","CLOBETASOL PROPIONATE||0.05%||AEROSOL, FOAM||TOPICAL",0.05%,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,0.05%,CLOBETASOL PROPIONATE,PADAGIS ISRAEL,"Mar 10, 2008","CLOBETASOL PROPIONATE||0.05%||AEROSOL, FOAM||TOPICAL",0.05%,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,0.05%,CLOBETASOL PROPIONATE,TARO,"Oct 4, 2018","CLOBETASOL PROPIONATE||0.05%||AEROSOL, FOAM||TOPICAL",0.05%,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,0.05%,CLOBETASOL PROPIONATE,XIROMED,"Nov 20, 2025","CLOBETASOL PROPIONATE||0.05%||AEROSOL, FOAM||TOPICAL",0.05%,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,0.05%,CLOBETASOL PROPIONATE,GLENMARK PHARMS LTD,"Sep 9, 2019","CLOBETASOL PROPIONATE||0.05%||AEROSOL, FOAM||TOPICAL",0.05%,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,0.05%,CLOBETASOL PROPIONATE,PADAGIS ISRAEL,"Aug 14, 2012","CLOBETASOL PROPIONATE||0.05%||AEROSOL, FOAM||TOPICAL",0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,ALEMBIC,"Jan 27, 2020",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,AMNEAL,"Dec 26, 2018",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,AUROBINDO PHARMA USA,"Feb 9, 2001",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,ENCUBE,"Aug 28, 2020",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,FOUGERA PHARMS INC,"Sep 30, 1996",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
