Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key
ASPIRIN; METHOCARBAMOL,TABLET,ORAL,325MG; 400MG,METHOCARBAMOL AND ASPIRIN,JEROME STEVENS PHARMACEUTICALS INC,"Jan 31, 1995",ASPIRIN; METHOCARBAMOL||325MG; 400MG||TABLET||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,STRIDES PHARMA GLOBAL PTE LTD,"Apr 29, 2025",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,UNICHEM LABORATORIES LTD,"Jan 12, 2021",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,APOTEX INC,"Jun 2, 2015",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,STRIDES PHARMA GLOBAL PTE LTD,"Apr 29, 2025",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,CADILA PHARMACEUTICALS LTD,"Nov 14, 2019",CELECOXIB||400MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,YABAO PHARMACEUTICAL CO LTD BEIJING,"Apr 10, 2023",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,AUROBINDO PHARMA LTD,"Feb 1, 2016",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,UMEDICA LABORATORIES PRIVATE LTD,"Nov 27, 2019",CELECOXIB||50MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,LUPIN LTD,"Jun 9, 2015",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,YILING PHARMACEUTICAL LTD,"Mar 6, 2020",CELECOXIB||400MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,TORRENT PHARMACEUTICALS LTD,"Dec 23, 2015",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,PANGEA PHARMACEUTICALS LLC,"Dec 9, 2020",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,CIPLA LTD,"Sep 23, 2015",CELECOXIB||50MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,JUBILANT GENERICS LTD,"Apr 4, 2017",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,CIPLA LTD,"Sep 23, 2015",CELECOXIB||400MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,YILING PHARMACEUTICAL LTD,"Mar 6, 2020",CELECOXIB||50MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,PANGEA PHARMACEUTICALS LLC,"Dec 9, 2020",CELECOXIB||400MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"May 31, 2018",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,SOLUTION,ORAL,25MG/ML,ELYXYB,SCILEX PHARMACEUTICALS INC,"May 5, 2020",CELECOXIB||25MG/ML||SOLUTION||ORAL
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,ZYDUS PHARMACEUTICALS USA INC,"Jul 14, 2025",CELECOXIB||50MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,MACLEODS PHARMACEUTICALS LTD,"Mar 16, 2016",CELECOXIB||400MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,ZYDUS PHARMACEUTICALS USA INC,"Jul 14, 2025",CELECOXIB||100MG||CAPSULE||ORAL
DICLOFENAC SODIUM,SOLUTION,TOPICAL,1.5%,DICLOFENAC SODIUM,LUPIN LTD,"Aug 20, 2015",DICLOFENAC SODIUM||1.5%||SOLUTION||TOPICAL
DICLOFENAC SODIUM,SOLUTION/DROPS,OPHTHALMIC,0.1%,DICLOFENAC SODIUM,FALCON PHARMACEUTICALS LTD,"May 4, 1998",DICLOFENAC SODIUM||0.1%||SOLUTION/DROPS||OPHTHALMIC
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG,DICLOFENAC SODIUM,CHARTWELL RX SCIENCES LLC,"Nov 30, 1995","DICLOFENAC SODIUM||75MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,25MG,DICLOFENAC SODIUM,UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD,"Dec 1, 2010","DICLOFENAC SODIUM||25MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,SOLUTION,INTRAVENOUS,37.5MG/ML (37.5MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,DYLOJECT,JAVELIN PHARMACEUTICALS INC A WHOLLY OWNED SUDSIDIARY OF HOSPIRA INC,"Dec 23, 2014",DICLOFENAC SODIUM||37.5MG/ML (37.5MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||SOLUTION||INTRAVENOUS
DICLOFENAC SODIUM,GEL,TOPICAL,3%,DICLOFENAC SODIUM,ACTAVIS MID ATLANTIC LLC,"Dec 2, 2015",DICLOFENAC SODIUM||3%||GEL||TOPICAL
DICLOFENAC SODIUM,GEL,TOPICAL,3%,DICLOFENAC SODIUM,ALEMBIC PHARMACEUTICALS LTD,"Jul 27, 2022",DICLOFENAC SODIUM||3%||GEL||TOPICAL
DICLOFENAC SODIUM; MISOPROSTOL,"TABLET, DELAYED RELEASE",ORAL,75MG; 0.2MG,DICLOFENAC SODIUM AND MISOPROSTOL,ACTAVIS LABORATORIES FL INC,"Jul 9, 2012","DICLOFENAC SODIUM; MISOPROSTOL||75MG; 0.2MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,TEVA PHARMACEUTICALS USA INC,"Mar 30, 1999","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,GEL,TOPICAL,3%,DICLOFENAC SODIUM,SUN PHARMA CANADA INC,"Apr 28, 2016",DICLOFENAC SODIUM||3%||GEL||TOPICAL
DICLOFENAC SODIUM,SOLUTION/DROPS,OPHTHALMIC,0.1%,DICLOFENAC SODIUM,RUBICON RESEARCH LTD,"Nov 13, 2008",DICLOFENAC SODIUM||0.1%||SOLUTION/DROPS||OPHTHALMIC
DICLOFENAC SODIUM,SOLUTION,TOPICAL,1.5%,DICLOFENAC SODIUM,PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC,"Jul 8, 2015",DICLOFENAC SODIUM||1.5%||SOLUTION||TOPICAL
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,CHARTWELL RX SCIENCES LLC,"Sep 28, 1995","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,GEL,TOPICAL,1%,DICLOFENAC SODIUM,HIKMA PHARMACEUTICALS USA INC,"Nov 21, 2018",DICLOFENAC SODIUM||1%||GEL||TOPICAL
DICLOFENAC SODIUM,SOLUTION/DROPS,OPHTHALMIC,0.1%,DICLOFENAC SODIUM,SANDOZ INC,"Feb 6, 2008",DICLOFENAC SODIUM||0.1%||SOLUTION/DROPS||OPHTHALMIC
DICLOFENAC SODIUM,"TABLET, EXTENDED RELEASE",ORAL,100MG,DICLOFENAC SODIUM,NOVAST LABORATORIES LTD,"Sep 23, 2022","DICLOFENAC SODIUM||100MG||TABLET, EXTENDED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,MICRO LABS LTD,"Feb 26, 1999","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG,DICLOFENAC SODIUM,RUBICON RESEARCH LTD,"May 11, 2023","DICLOFENAC SODIUM||75MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,GEL,TOPICAL,1%,DICLOFENAC SODIUM,CIPLA LTD,"Aug 3, 2018",DICLOFENAC SODIUM||1%||GEL||TOPICAL
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,25MG,DICLOFENAC SODIUM,TEVA PHARMACEUTICALS USA,"Jun 25, 1997","DICLOFENAC SODIUM||25MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG,DICLOFENAC SODIUM,ACTAVIS ELIZABETH LLC,"Mar 26, 1996","DICLOFENAC SODIUM||75MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,VOLTAREN,NOVARTIS PHARMACEUTICALS CORP,"Jul 28, 1988","DICLOFENAC SODIUM||25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,SOLUTION,TOPICAL,2%,DICLOFENAC SODIUM,SUN PHARMA CANADA INC,"Sep 29, 2022",DICLOFENAC SODIUM||2%||SOLUTION||TOPICAL
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,ACTAVIS ELIZABETH LLC,"Mar 26, 1996","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,CARLSBAD TECHNOLOGY INC,"Nov 13, 1998","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, EXTENDED RELEASE",ORAL,100MG,DICLOFENAC SODIUM,ACTAVIS ELIZABETH LLC,"Jan 7, 2002","DICLOFENAC SODIUM||100MG||TABLET, EXTENDED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG,DICLOFENAC SODIUM,ROXANE LABORATORIES INC,"Jun 29, 1995","DICLOFENAC SODIUM||75MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,SOLUTION,TOPICAL,1.5%,DICLOFENAC SODIUM,NOVEL LABORATORIES INC,"Dec 9, 2015",DICLOFENAC SODIUM||1.5%||SOLUTION||TOPICAL
DICLOFENAC SODIUM; MISOPROSTOL,"TABLET, DELAYED RELEASE",ORAL,75MG; 0.2MG,DICLOFENAC SODIUM AND MISOPROSTOL,YUNG SHIN PHARMACEUTICAL INDUSTRIAL CO LTD,"Feb 19, 2020","DICLOFENAC SODIUM; MISOPROSTOL||75MG; 0.2MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, EXTENDED RELEASE",ORAL,100MG,DICLOFENAC SODIUM,DEXCEL LTD,"Nov 6, 2002","DICLOFENAC SODIUM||100MG||TABLET, EXTENDED RELEASE||ORAL"
DICLOFENAC SODIUM,SOLUTION/DROPS,OPHTHALMIC,0.1%,DICLOFENAC SODIUM,BAUSCH AND LOMB INC,"Dec 28, 2007",DICLOFENAC SODIUM||0.1%||SOLUTION/DROPS||OPHTHALMIC
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,VOLTAREN,NOVARTIS PHARMACEUTICALS CORP,"Jul 28, 1988","DICLOFENAC SODIUM||75MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,UMEDICA LABORATORIES PRIVATE LTD,"Nov 5, 2025","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,SOLUTION,TOPICAL,2% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,PENNSAID,HORIZON THERAPEUTICS IRELAND DAC,"Jan 16, 2014",DICLOFENAC SODIUM||2% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||SOLUTION||TOPICAL
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG,DICLOFENAC SODIUM,PLIVA INC,"Jul 29, 1999","DICLOFENAC SODIUM||75MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG,DICLOFENAC SODIUM,TEVA PHARMACEUTICALS USA INC,"Aug 15, 1996","DICLOFENAC SODIUM||75MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM; MISOPROSTOL,"TABLET, DELAYED RELEASE",ORAL,50MG; 0.2MG,DICLOFENAC SODIUM AND MISOPROSTOL,SANDOZ INC,"May 9, 2013","DICLOFENAC SODIUM; MISOPROSTOL||50MG; 0.2MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM; MISOPROSTOL,"TABLET, DELAYED RELEASE",ORAL,75MG; 0.2MG,DICLOFENAC SODIUM AND MISOPROSTOL,EXELA HOLDINGS INC,"Mar 14, 2014","DICLOFENAC SODIUM; MISOPROSTOL||75MG; 0.2MG||TABLET, DELAYED RELEASE||ORAL"
DICLOFENAC SODIUM,SOLUTION,INTRAVENOUS,37.5MG/ML (37.5MG/ML),DICLOFENAC SODIUM,RISING PHARMA HOLDING INC,"Jun 18, 2019",DICLOFENAC SODIUM||37.5MG/ML (37.5MG/ML)||SOLUTION||INTRAVENOUS
DICLOFENAC SODIUM,SOLUTION,TOPICAL,1.5%,DICLOFENAC SODIUM,ZYDUS LIFESCIENCES LTD,"Apr 17, 2018",DICLOFENAC SODIUM||1.5%||SOLUTION||TOPICAL
NAPROXEN,TABLET,ORAL,500MG,NAPROXEN,TEVA PHARMACEUTICALS USA INC,"Apr 11, 1996",NAPROXEN||500MG||TABLET||ORAL
NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,375MG,NAPROXEN,NUVO PHAMACEUTICALS INC,"Sep 19, 2011","NAPROXEN||375MG||TABLET, DELAYED RELEASE||ORAL"
NAPROXEN,TABLET,ORAL,250MG,NAPROXEN,WATSON LABORATORIES INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Feb 10, 1995",NAPROXEN||250MG||TABLET||ORAL
LANSOPRAZOLE; NAPROXEN,"CAPSULE, DELAYED REL PELLETS, TABLET",ORAL,"15MG,N/A; N/A,500MG",PREVACID NAPRAPAC 500 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,"Nov 14, 2003","LANSOPRAZOLE; NAPROXEN||15MG,N/A; N/A,500MG||CAPSULE, DELAYED REL PELLETS, TABLET||ORAL"
ESOMEPRAZOLE MAGNESIUM; NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,EQ 20MG BASE; 375MG,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,PHARMOBEDIENT CONSULTING LLC,"Jul 20, 2021","ESOMEPRAZOLE MAGNESIUM; NAPROXEN||EQ 20MG BASE; 375MG||TABLET, DELAYED RELEASE||ORAL"
NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE,TABLET,ORAL,500MG; EQ 85MG BASE,SUMATRIPTAN AND NAPROXEN SODIUM,RISING PHARMA HOLDINGS INC,"Sep 4, 2018",NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE||500MG; EQ 85MG BASE||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,SCIEGEN PHARMACEUTICALS INC,"Oct 30, 2019",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL
LANSOPRAZOLE; NAPROXEN,"CAPSULE, DELAYED REL PELLETS, TABLET",ORAL,"15MG,N/A; N/A,375MG",PREVACID NAPRAPAC 375 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,"Nov 14, 2003","LANSOPRAZOLE; NAPROXEN||15MG,N/A; N/A,375MG||CAPSULE, DELAYED REL PELLETS, TABLET||ORAL"
NAPROXEN,TABLET,ORAL,250MG,NAPROXEN,L PERRIGO CO,"Apr 27, 2005",NAPROXEN||250MG||TABLET||ORAL
NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,220MG; 120MG,NAPROXEN SODIUM AND PSEUDOEPHEDRINE HYDROCHLORIDE,DR REDDYS LABORATORIES INC,"Sep 27, 2006","NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE||220MG; 120MG||TABLET, EXTENDED RELEASE||ORAL"
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,PUREPAC PHARMACEUTICAL CO,"Mar 20, 1995",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,WATSON LABORATORIES INC,"May 31, 1995",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,EQ 500MG BASE,NAPROXEN SODIUM,ROXANE LABORATORIES INC,"Dec 21, 1993",NAPROXEN SODIUM||EQ 500MG BASE||TABLET||ORAL
NAPROXEN,TABLET,ORAL,500MG,NAPROXEN,GLENMARK PHARMACEUTICALS LTD,"Mar 28, 2007",NAPROXEN||500MG||TABLET||ORAL
ESOMEPRAZOLE MAGNESIUM; NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,EQ 20MG BASE; 375MG,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,AJANTA PHARMA LTD,"Oct 6, 2022","ESOMEPRAZOLE MAGNESIUM; NAPROXEN||EQ 20MG BASE; 375MG||TABLET, DELAYED RELEASE||ORAL"
NAPROXEN SODIUM,TABLET,ORAL,220MG,ALEVE,BAYER HEALTHCARE LLC,"Jan 11, 1994",NAPROXEN SODIUM||220MG||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,EQ 500MG BASE,NAPROXEN SODIUM,ROXANE LABORATORIES INC,"Dec 21, 1993",NAPROXEN SODIUM||EQ 500MG BASE||TABLET||ORAL
NAPROXEN,SUSPENSION,ORAL,25MG/ML,NAPROXEN,NOVITIUM PHARMA LLC,"Mar 10, 2021",NAPROXEN||25MG/ML||SUSPENSION||ORAL
NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,375MG,NAPROXEN,NOVITIUM PHARMA LLC,"Jun 12, 2024","NAPROXEN||375MG||TABLET, DELAYED RELEASE||ORAL"
NAPROXEN,SUSPENSION,ORAL,25MG/ML,NAPROXEN,AUROBINDO PHARMA LTD,"Oct 3, 2025",NAPROXEN||25MG/ML||SUSPENSION||ORAL
NAPROXEN,TABLET,ORAL,500MG,NAPROXEN,ROXANE LABORATORIES INC,"Feb 28, 1994",NAPROXEN||500MG||TABLET||ORAL
ESOMEPRAZOLE MAGNESIUM; NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,EQ 20MG BASE; 375MG,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,ACTAVIS LABORATORIES FL INC,"Aug 24, 2022","ESOMEPRAZOLE MAGNESIUM; NAPROXEN||EQ 20MG BASE; 375MG||TABLET, DELAYED RELEASE||ORAL"
NAPROXEN SODIUM,TABLET,ORAL,220MG,ALEVE,BAYER HEALTHCARE LLC,"Jan 11, 1994",NAPROXEN SODIUM||220MG||TABLET||ORAL
NAPROXEN,TABLET,ORAL,500MG,NAPROXEN,IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,"Feb 28, 1995",NAPROXEN||500MG||TABLET||ORAL
NAPROXEN,TABLET,ORAL,250MG,NAPROXEN,AMNEAL PHARMACEUTICALS NY LLC,"Dec 18, 2001",NAPROXEN||250MG||TABLET||ORAL
NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,500MG,NAPROXEN,TEVA PHARMACEUTICALS USA INC,"Jun 30, 1998","NAPROXEN||500MG||TABLET, DELAYED RELEASE||ORAL"
NAPROXEN,SUSPENSION,ORAL,25MG/ML,NAPROXEN,HIKMA PHARMACEUTICALS USA INC,"Mar 30, 1994",NAPROXEN||25MG/ML||SUSPENSION||ORAL
NAPROXEN,TABLET,ORAL,500MG,NAPROXEN,CHARTWELL MOLECULES LLC,"Apr 28, 1995",NAPROXEN||500MG||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,SANDOZ INC,"Dec 5, 1994",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL
NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,375MG,NAPROXEN,TP ANDA HOLDINGS LLC,"May 31, 2023","NAPROXEN||375MG||TABLET, DELAYED RELEASE||ORAL"
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,PHARMOBEDIENT CONSULTING LLC,"Aug 31, 1994",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL
LANSOPRAZOLE; NAPROXEN,"CAPSULE, DELAYED REL PELLETS, TABLET",ORAL,"15MG,N/A; N/A,375MG",PREVACID NAPRAPAC 375 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,"Nov 14, 2003","LANSOPRAZOLE; NAPROXEN||15MG,N/A; N/A,375MG||CAPSULE, DELAYED REL PELLETS, TABLET||ORAL"
NAPROXEN SODIUM,TABLET,ORAL,220MG,NAPROXEN SODIUM,GRANULES INDIA LTD,"Sep 20, 2011",NAPROXEN SODIUM||220MG||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,EQ 500MG BASE,NAPROXEN SODIUM,SANDOZ INC,"Dec 21, 1993",NAPROXEN SODIUM||EQ 500MG BASE||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,220MG,NAPROXEN SODIUM,CONTRACT PHARMACAL CORP,"Feb 27, 1997",NAPROXEN SODIUM||220MG||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,EQ 500MG BASE,NAPROXEN SODIUM,WATSON LABORATORIES INC,"May 31, 1995",NAPROXEN SODIUM||EQ 500MG BASE||TABLET||ORAL
NAPROXEN SODIUM,TABLET,ORAL,EQ 500MG BASE,NAPROXEN SODIUM,PUREPAC PHARMACEUTICAL CO,"Mar 20, 1995",NAPROXEN SODIUM||EQ 500MG BASE||TABLET||ORAL
NAPROXEN,TABLET,ORAL,500MG,NAPROXEN,TEVA PHARMACEUTICALS USA INC,"Dec 21, 1993",NAPROXEN||500MG||TABLET||ORAL
NAPROXEN SODIUM,CAPSULE,ORAL,EQ 200MG BASE,NAPROXEN SODIUM,BIONPHARMA INC,"Feb 17, 2006",NAPROXEN SODIUM||EQ 200MG BASE||CAPSULE||ORAL
ESOMEPRAZOLE MAGNESIUM; NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,EQ 20MG BASE; 500MG,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,PHARMOBEDIENT CONSULTING LLC,"Jul 20, 2021","ESOMEPRAZOLE MAGNESIUM; NAPROXEN||EQ 20MG BASE; 500MG||TABLET, DELAYED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,MYLAN PHARMACEUTICALS INC,"Dec 22, 2015","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,ACTAVIS ELIZABETH LLC,"Jun 27, 2012","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,MYLAN PHARMACEUTICALS INC,"Dec 22, 2015","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,ACTAVIS ELIZABETH LLC,"Jun 27, 2012","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL"
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,ZYDUS PHARMACEUTICALS USA INC,"Sep 6, 2012",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,AUROBINDO PHARMA LTD,"Mar 22, 2017",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,PH HEALTH LTD,"Jun 27, 2012","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,PLIVA INC,"Jul 1, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,ULTRAM ER,VALEANT PHARMACEUTICALS NORTH AMERICA LLC,"Sep 8, 2005","TRAMADOL HYDROCHLORIDE||100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,AUROBINDO PHARMA LTD,"Oct 20, 2015","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,IPCA LABORATORIES LTD,"Nov 16, 2012",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,SOLUTION,ORAL,5MG/ML,QDOLO,ATHENA BIOSCIENCE LLC,"Sep 1, 2020",TRAMADOL HYDROCHLORIDE||5MG/ML||SOLUTION||ORAL
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,"Sep 25, 2015",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL
